起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
136.218,9.07614,-1.14327,-2.05523,1.33412,46.1396,-0.911955,35.8898,26.2178,-2.18782,-2.28179,1.17738,30.6755,-0.0939704,0,1e-39,120,1,0,1,0,120
96.8136,15.3291,0.558606,-0.784519,1.19123,43.4891,-1.34312,20.5865,71.0239,-1.18303,0.0332156,1.20589,31.3103,1.14981,1,105.515,0.137121,1,0,1,0,0.137121
143.683,17.9719,-0.370068,-2.44683,1.1678,42.9527,-2.07677,32.0444,71.0858,2.80117,1.81456,1.24141,32.0425,1.66745,0,1e-39,120,1,0,1,0,120
128.18,-3.71128,0.501464,1.60724,1.33927,46.2148,-2.1087,32.2398,24.2496,-2.13959,-2.48603,1.15085,30.0474,-0.346441,0,1e-39,120,1,0,1,0,120
136.884,2.84782,-3.02112,-0.521159,1.29519,45.5249,2.49996,40.9353,37.4703,-1.93971,-2.05512,1.32697,33.5328,-0.115408,0,1e-39,120,1,0,1,0,120
111.191,26.895,3.07011,2.1229,1.28174,45.2936,1.09018,12.7458,71.0195,1.45779,-2.34125,1.12398,29.3751,2.48415,1,168.218,0.173441,1,0,1,0,0.173441
131.203,26.4731,-0.135996,-2.03203,1.26539,44.9994,-1.89603,27.1354,30.3387,-1.92349,-2.93357,1.26638,32.5177,-1.01008,0,1e-39,120,1,0,1,0,120
127.411,-12.1753,0.327822,1.56552,1.19919,43.665,-1.89334,36.2499,59.3574,2.5275,1.59603,1.42546,34.7592,2.15966,0,1e-39,120,1,0,1,0,120
127.216,28.8651,-1.47935,-0.456778,1.26015,44.9023,1.02257,40.1032,65.137,-0.107172,-2.05217,1.29777,33.068,-1.945,0,1e-39,120,1,0,1,0,120
137.49,9.42318,0.196726,2.9119,1.31081,45.7813,-3.10863,25.3917,23.4111,1.12218,0.277006,1.12818,29.4825,-1.39919,0,1e-39,120,1,0,1,0,120
119.425,32.8425,2.54947,2.18807,1.20947,43.8872,1.54564,31.1423,25.6174,2.68864,-1.07103,1.17917,30.7165,2.52352,1,85.0512,0.139676,1,0,1,0,0.139676
126.54,27.4291,-0.0296976,-1.90009,1.28996,45.4361,-1.87039,44.931,49.6182,-1.29532,-1.87183,1.35825,33.9796,-0.576507,0,1e-39,120,1,0,1,0,120
103.383,29.4601,0.598008,-1.46204,1.15595,42.671,-2.06005,39.8679,25.0901,-1.84215,-2.49306,1.13202,29.5801,-0.650918,1,113.771,0.168136,1,0,1,0,0.168136
97.1353,17.4345,2.70921,-3.02358,1.18632,43.3791,0.550403,43.5311,69.5821,-2.27011,0.0946599,1.19101,30.9842,2.17545,1,99.1198,0.245439,1,0,1,0,0.245439
120.093,-2.90994,0.674045,0.903986,1.39533,46.9404,-1.57803,17.581,68.2433,2.16334,-3.13645,1.22449,31.702,0.983401,0,1e-39,120,1,0,1,0,120
98.4329,8.72068,-0.444122,0.503371,1.23338,44.3829,-0.0592486,26.0318,38.9726,-1.44661,2.67199,1.41699,34.6746,-1.22538,1,134.939,0.100528,1,0,1,0,0.100528
106.897,7.17324,-1.59017,1.80264,1.38631,46.8352,-0.212477,21.6563,74.899,0.405899,-1.65335,1.14266,29.8464,-2.05925,1,118.965,0.120247,1,0,1,0,0.120247
131.639,6.07114,-0.749474,-2.71768,1.40674,47.0669,-1.9682,20.8095,42.6196,1.17211,-0.495514,1.41576,34.6621,-1.66762,0,1e-39,120,1,0,1,0,120
125.727,18.4545,-1.79587,-0.370281,1.44431,47.4332,1.42559,41.4744,44.2381,0.690904,1.98532,1.39661,34.4549,-2.67623,0,1e-39,120,1,0,1,0,120
125.707,-1.55926,1.85431,0.17508,1.39568,46.9443,-2.02939,25.2774,76.5828,-0.840708,-0.554266,1.1279,29.4754,0.286441,0,1e-39,120,1,0,1,0,120
109.831,24.2079,-2.48006,1.53049,1.31133,45.7895,0.949569,22.0382,58.6656,-2.55637,1.72867,1.41611,34.6656,0.8277,1,118.318,0.207413,1,0,1,0,0.207413
107.85,4.79271,-1.74212,2.14703,1.38971,46.8753,-0.40491,22.1573,72.5845,-0.954091,-0.282474,1.18896,30.9384,0.671617,1,125.129,0.191608,1,0,1,0,0.191608
104.769,18.6733,1.87226,-2.38992,1.3103,45.7732,2.02101,11.4538,59.1733,-2.43087,1.97154,1.25081,32.2252,0.459333,1,111.767,0.147482,1,0,1,0,0.147482
142.327,15.3527,0.956679,2.42022,1.20735,43.8419,2.90629,13.2286,71.3139,-0.902289,-0.00181852,1.12545,29.4128,0.900471,0,1e-39,120,1,0,1,0,120
136.158,-8.66871,2.47001,-0.185772,1.17366,43.0896,-2.65578,15.3816,32.6567,2.22301,-1.35257,1.2127,31.4558,2.70761,0,1e-39,120,1,0,1,0,120
134.086,31.2437,2.38306,1.74383,1.15794,42.7187,2.1563,46.9062,61.525,2.1061,1.63383,1.25517,32.3085,2.54325,0,1e-39,120,1,0,1,0,120
130.642,21.4196,-1.50496,-0.815995,1.34585,46.3088,0.688961,9.83735,58.6496,-2.24028,1.83504,1.22698,31.753,0.405245,0,1e-39,120,1,0,1,0,120
98.2623,-2.74617,-2.43692,2.96725,1.16366,42.8553,-0.530332,21.7197,40.483,-1.56298,2.41776,1.40071,34.501,-0.854775,1,117.433,0.164852,1,0,1,0,0.164852
101.395,16.6488,-1.68248,1.33926,1.26849,45.0564,0.343228,27.4621,36.1385,-1.09351,2.48322,1.37374,34.1812,-1.38971,1,146.181,0.131066,1,0,1,0,0.131066
134.904,11.4283,0.444637,2.7925,1.35759,46.4707,3.04605,21.9458,41.8805,-2.927,-2.56675,1.42213,34.7264,0.360256,0,1e-39,120,1,0,1,0,120
129.04,-6.84386,1.89601,0.167359,1.28056,45.2729,-2.06337,16.6806,44.9421,-1.83132,2.19425,1.37089,34.1451,-0.362923,0,1e-39,120,1,0,1,0,120
110.852,34.6082,2.04807,3.02024,1.14279,42.3494,1.21487,15.6724,48.2687,1.01281,-0.892553,1.36751,34.1017,-1.90536,1,67.8614,0.123882,1,0,1,0,0.123882
94.5126,18.142,0.72512,-1.03433,1.13276,42.0987,-1.75945,36.1179,61.8006,-2.84919,0.800098,1.38836,34.3595,2.04909,1,159.015,0.196907,1,0,1,0,0.196907
127.672,21.763,1.83159,2.30284,1.37461,46.6922,2.14875,12.8388,71.5718,2.04503,-2.94381,1.11652,29.1819,1.29435,0,1e-39,120,1,0,1,0,120
124.781,35.6782,2.73693,1.79136,1.14545,42.4153,1.75489,28.9855,28.6036,1.11759,0.405822,1.23691,31.9534,-1.52342,0,1e-39,120,1,0,1,0,120
109.435,18.8326,0.255724,-0.952046,1.37962,46.7543,-1.20777,41.325,70.466,2.27817,1.9288,1.19901,31.161,2.07621,1,104.872,0.211766,1,0,1,0,0.211766
134.551,12.3909,-1.38035,-1.59839,1.36173,46.5261,-0.218042,29.5451,38.8834,-2.63032,-2.12297,1.42776,34.7815,0.507357,0,1e-39,120,1,0,1,0,120
133.467,12.054,-2.64817,-0.342065,1.38233,46.7874,2.3061,19.8393,41.0754,-1.38344,2.10416,1.38413,34.3092,-0.720725,0,1e-39,120,1,0,1,0,120
141.193,23.2646,0.682472,3.01836,1.16754,42.9468,2.58235,23.8059,35.0306,0.592861,0.5856,1.33493,33.6516,-1.17846,0,1e-39,120,1,0,1,0,120
122.52,19.986,1.9196,2.54562,1.44272,47.4193,1.81797,32.2801,37.1529,1.9774,-0.230947,1.39282,34.4116,-2.20834,0,1e-39,120,1,0,1,0,120
104.578,21.7732,2.24929,-2.90131,1.27518,45.1773,1.13259,49.8915,61.0971,-2.38961,-0.243111,1.21086,31.4168,2.1465,1,170.419,0.113888,1,0,1,0,0.113888
109.118,14.9702,-0.273479,-0.154959,1.41256,47.1288,0.11852,35.2697,39.4611,2.52162,-0.487154,1.41584,34.6628,-3.00877,1,117.597,0.211199,1,0,1,0,0.211199
