起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
86.5583,53.9161,-0.890945,0.971407,1.38484,44.3176,-0.0804618,-53.1935,109.923,-2.45683,2.14348,1.33917,48.7134,0.313347,1,59.5777,0.0844568,1,0,1,0,0.0844568
92.4324,70.8147,2.85022,2.30849,1.31021,43.2717,1.12448,-24.1068,107.129,-2.19188,-0.797683,1.37441,49.1896,1.39419,1,48.4399,0.0761854,1,0,1,0,0.0761854
119.754,43.8235,-2.09928,-1.5572,1.21243,41.4502,0.542074,-22.4092,105.33,2.48094,0.681817,1.34613,48.8128,3.12043,1,73.2219,0.0776859,1,0,1,0,0.0776859
87.617,38.8704,-1.89324,2.80929,1.25756,42.3537,-0.916051,-37.3695,88.5786,-0.740199,2.34937,1.33062,48.5876,-1.60917,1,72.5472,0.0930188,1,0,1,0,0.0930188
80.8828,55.8908,-1.59174,1.54518,1.28016,42.7657,0.0465653,-24.9894,104.768,2.24837,0.875368,1.39346,49.419,-3.12374,1,57.0231,0.0955253,1,0,1,0,0.0955253
101.207,76.0706,0.693979,-2.32201,1.24293,42.0723,-3.01599,-19.586,104.455,-0.111638,-3.05953,1.29359,47.9979,-2.94789,1,79.5286,0.0847241,1,0,1,0,0.0847241
82.2395,52.6049,0.81276,-0.678714,1.30295,43.154,-1.49147,-35.6578,90.5717,-0.636559,2.36828,1.3641,49.0574,-1.73172,1,99.3371,0.207671,1,0,1,0,0.207671
109.329,45.1813,2.60917,-0.278534,1.38376,44.3047,-2.8877,-28.6371,90.2475,-2.33114,-1.81573,1.31131,48.2894,0.515411,1,50.8149,0.0846908,1,0,1,0,0.0846908
96.9993,70.1243,1.69175,-3.06669,1.34936,43.858,1.52475,-26.8046,100.608,1.24531,1.52239,1.41142,49.6168,-2.7677,0,1e-39,120,1,0,1,0,120
80.5562,65.7108,-2.29861,1.79511,1.22201,41.6507,0.503504,-11.1907,106.133,0.446393,2.73745,1.13122,44.5598,3.09934,1,97.9891,0.139196,1,0,1,0,0.139196
114.811,56.9121,0.976506,2.29347,1.35828,43.98,3.01321,-38.6682,89.5153,-1.51831,3.04598,1.34788,48.8374,-1.52767,1,128.922,0.213179,1,0,1,0,0.213179
88.0351,40.0154,3.01213,-2.11515,1.27945,42.7533,1.15591,-51.9416,110.72,-0.474324,0.0849853,1.35579,48.9465,0.389339,1,63.4582,0.0855681,1,0,1,0,0.0855681
99.0089,39.6345,-1.5327,3.03909,1.34975,43.8635,-1.50638,-20.8504,85.8463,2.0855,0.215542,1.15359,45.1139,-2.30105,1,68.8459,0.120001,1,0,1,0,0.120001
99.5798,43.896,-1.901,-2.84922,1.42801,44.7839,-0.948221,-39.8048,92.4745,0.88766,0.540031,1.39999,49.4929,-1.42769,1,134.975,0.137873,1,0,1,0,0.137873
96.0377,30.2811,-0.0289348,1.44079,1.1669,40.4318,-1.41186,-43.0035,95.0396,1.76129,-0.656012,1.42739,49.7779,-2.41731,0,1e-39,120,1,0,1,0,120
90.4422,28.947,2.43301,-1.21383,1.11277,39.0839,2.63635,-21.094,88.0456,2.63781,-0.283049,1.18827,45.9229,-2.92086,1,40.0688,0.134773,1,0,1,0,0.134773
108.741,72.8075,2.92786,1.32824,1.26698,42.5287,2.02709,-54.0474,110.985,0.761196,-1.11819,1.31774,48.391,-1.87939,1,92.1346,0.0809914,1,0,1,0,0.0809914
88.9672,56.1649,2.05494,-2.16014,1.42833,44.787,2.06811,-44.9494,89.9996,0.811487,0.325466,1.32879,48.5603,-1.13695,1,127.579,0.207752,1,0,1,0,0.207752
