起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
-86.7222,76.646,0.685646,-0.560783,1.12925,39.5097,-1.24643,-36.8876,41.0312,-0.794476,-0.628074,1.14147,29.8168,0.166402,1,42.9973,0.0469773,1,0,1,0,0.0469773
-86.2669,76.377,-1.42536,1.56242,1.13757,39.7196,-0.137065,-24.2815,31.2483,1.86476,2.35515,1.29326,32.9923,2.06328,1,20.5628,0.0479394,1,0,1,0,0.0479394
-86.9158,77.4122,-1.73392,1.82977,1.12708,39.4545,-0.0958478,-15.8161,34.5253,-1.67662,-0.615883,1.14763,29.9687,1.06073,1,11.5816,0.047286,1,0,1,0,0.047286
-86.9965,77.4531,-0.0317659,0.125828,1.12555,39.4153,-0.0940622,-22.3446,26.6503,2.03232,1.93924,1.34255,33.762,2.31162,1,28.0917,0.0391341,1,0,1,0,0.0391341
-86.2284,78.5739,2.81738,-2.76306,1.14252,39.8428,0.70275,-33.4973,40.9956,-1.76654,0.214874,1.14782,29.9734,1.55167,1,22.5791,0.0379444,1,0,1,0,0.0379444
-86.9433,78.5637,-2.35966,2.41291,1.12825,39.4844,-0.0532589,-44.9107,7.96642,-0.820057,1.35348,1.37849,34.2404,-0.533425,1,46.2317,0.0351959,1,0,1,0,0.0351959
-86.2037,79.9527,1.46629,-1.46448,1.14378,39.874,-2.93077,-26.924,37.9572,2.54804,1.90562,1.19207,31.0079,1.82953,1,23.2437,0.03923,1,0,1,0,0.03923
-86.0239,79.7831,2.00744,-1.99911,1.14734,39.9615,2.27663,-36.3695,35.5539,-1.92815,0.519844,1.2482,32.1749,1.4083,1,12.0123,0.0488486,1,0,1,0,0.0488486
-86.9097,80.1101,1.27158,-1.27567,1.12969,39.5208,-2.54725,-25.9344,37.6737,-0.205656,-1.66722,1.19204,31.0073,-1.46157,1,30.2401,0.0443512,1,0,1,0,0.0443512
-86.1229,80.4512,1.75276,-1.77003,1.14531,39.9117,2.76039,-45.2378,10.5577,-0.841457,1.18967,1.39335,34.4176,-0.348211,1,26.5119,0.0398153,1,0,1,0,0.0398153
-86.6895,81.567,-2.45508,2.39644,1.13318,39.6093,0.0586439,-45.5231,7.79948,0.0404265,0.481392,1.36725,34.0984,-0.521819,1,57.3377,0.0568027,1,0,1,0,0.0568027
-86.5943,81.7373,1.74846,-1.81369,1.13487,39.6518,2.72103,-17.1892,31.0522,-1.65796,-0.690656,1.21561,31.5173,0.967305,1,63.2252,0.0344966,1,0,1,0,0.0344966
-86.2525,82.2521,1.59022,-1.6758,1.14089,39.8024,3.01716,-33.3247,31.6604,1.00927,-2.56058,1.32635,33.5235,2.71334,1,15.3777,0.028055,1,0,1,0,0.028055
-86.7424,82.9679,-2.2497,2.13917,1.12975,39.5226,0.110527,-30.2699,37.1617,0.650831,-2.3442,1.2195,31.5986,-2.99503,1,23.6156,0.0647713,1,0,1,0,0.0647713
-86.414,83.4564,-0.165637,0.0355208,1.1351,39.6577,0.130116,-22.5175,-9.21082,-1.52622,-2.77757,1.14022,29.7857,-1.25135,1,17.6102,0.0942539,1,0,1,0,0.0942539
-86.3579,83.3621,1.60257,-1.72944,1.13645,39.6917,2.95118,-25.8398,36.3571,-0.538119,-1.35616,1.21572,31.5197,-0.818041,1,9.63734,0.0360874,1,0,1,0,0.0360874
-86.8864,84.3811,-0.127989,-0.0335401,1.12304,39.351,0.0944493,-17.0395,28.3318,2.83666,1.00083,1.24881,32.1868,2.44569,1,20.6042,0.0442094,1,0,1,0,0.0442094
-86.0942,84.9939,1.17295,-1.36204,1.13653,39.6935,-2.53499,-44.6289,23.0486,2.05734,-2.66276,1.37281,34.1695,1.56309,1,10.5768,0.0481216,1,0,1,0,0.0481216
-86.6163,85.2104,1.85261,-2.04592,1.12545,39.4126,2.38466,-19.1911,36.1163,0.210367,-2.36031,1.16304,30.3405,-2.57067,1,13.9737,0.0181324,1,0,1,0,0.0181324
-86.1997,85.2293,1.23915,-1.43616,1.13356,39.6188,-2.67531,-21.4966,18.8731,2.87965,0.586706,1.40939,34.5954,2.81682,1,14.9429,0.0499301,1,0,1,0,0.0499301
-86.355,86.1471,2.92081,3.13323,1.12663,39.443,0.229145,-13.4713,29.4787,-2.57849,0.0748747,1.1811,30.7606,2.50361,1,10.7562,0.0238361,1,0,1,0,0.0238361
-86.1477,86.0695,-2.4046,2.17651,1.13103,39.5549,0.228086,-42.1292,37.9623,0.367186,-1.55957,1.17327,30.5805,-1.92676,1,10.4314,0.0311957,1,0,1,0,0.0311957
-85.5263,68.0769,-1.51999,1.95697,1.10421,38.8574,-0.436975,-44.9122,16.2966,-0.596781,0.48836,1.41221,34.6252,0.108421,1,95.9145,0.0658676,1,0,1,0,0.0658676
-85.6564,68.7506,1.16334,-0.750123,1.10744,38.9433,-1.91346,-16.8051,18.4649,1.36281,1.98956,1.32825,33.5521,2.93082,1,42.8908,0.066355,1,0,1,0,0.066355
-85.3947,69.1562,2.43935,-2.03577,1.11555,39.1568,1.80806,-45.1675,19.3551,-0.140208,-0.203517,1.39509,34.4376,-0.0633083,1,68.5115,0.0566936,1,0,1,0,0.0566936
-85.3212,69.9493,-0.148247,0.526103,1.123,39.35,-0.377856,-46.5611,31.6051,-2.57668,1.69071,1.23656,31.9464,0.885966,1,41.5685,0.0795878,1,0,1,0,0.0795878
-85.9885,70.3808,-2.06397,2.41847,1.11356,39.1047,-0.354496,-23.1887,-2.9612,-0.23178,2.30254,1.25507,32.3066,-2.07076,1,87.044,0.14407,1,0,1,0,0.14407
-85.803,70.5816,-2.94713,-2.98607,1.11847,39.2328,-0.0389361,-31.9511,38.1229,-2.38253,0.7664,1.20373,31.2637,1.61613,1,78.0483,0.0592059,1,0,1,0,0.0592059
-85.9394,71.9051,2.6375,-2.335,1.12441,39.3861,1.31069,-21.4724,36.304,-2.22799,0.161209,1.18281,30.7996,2.06678,0,1e-39,120,1,0,1,0,120
-85.8117,71.4607,-1.90911,2.2286,1.12412,39.3786,-0.319496,-20.651,-8.72628,1.47192,0.578775,1.13294,29.6031,-2.05069,1,73.6036,0.0827157,1,0,1,0,0.0827157
-85.5153,72.7879,-1.89012,2.16559,1.13758,39.7199,-0.27547,-43.1633,34.7071,-1.0933,-0.00135126,1.22249,31.6608,1.09195,1,27.634,0.0414713,1,0,1,0,0.0414713
-85.7354,72.4565,1.01319,-0.728057,1.13152,39.5674,-1.74125,-29.6141,35.3432,-0.744294,-0.991428,1.2521,32.2499,-0.247134,1,112.9,0.117023,1,0,1,0,0.117023
